2893824	20200324170519	jb3.devnewton.fr	Ysabeau	17:02:39 c'était déjà lui qui avait l'étudiante en soutif, suis un peu.
2893825	20200324170544	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0	h5n1	17:04:55 j'ai pas vu les chaussures, mais on peut supposer :o
2893826	20200324170713	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	17:05:19 il mate beaucoup par la fenêtre tout en moulant sérieusement == ça sent le setup pensé pour !
2893827	20200324170739	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	h5n1&lt; va tu changer de pseudo en cov-2 ?
2893828	20200324170742	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0	h5n1	<i>- chérie, habille toi pour sortir ! - oh, chic, tu m'emmènes où ? - sur la terrasse. tiens, prends le seau</i>
2893829	20200324170756	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	17:07:42 hahahah
2893830	20200324170903	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:74.0) Gecko/20100101 Firefox/74.0	h5n1	17:07:13 c'était pas la même fenêtre, mais encore une fois, c'est la faute à mon chat qui réclamait pour que je le laisse aller se dorer au soleil sur la terrasse :o
2893831	20200324170937	jb3.devnewton.fr	Ysabeau	17:07:13 il t'explique que c'est pas lui mais le chat (j'vois pas le rapport).
2893832	20200324170954	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	17:09:03 sacré félin, toujours à vouloir se dorer la pillule en même temps que les voisines :)
2893833	20200324171007	jb3.devnewton.fr	Ysabeau	17:09:03 caisse que je disais avant te lire, c'est le chat, ah ah !
2893834	20200324172747	Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0	_kaos_	Et c'est parti par là bas aussi <a href="https://www.lefigaro.fr/flash-actu/coronavirus-l-inde-decrete-un-confinement-total-du-pays-20200324">[url]</a>
2893835	20200324172841	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	17:27:47 wow
2893836	20200324173210	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	(pour info : moi ça va aujourd'hui, mais demain sera une journée clef, puis vendredi une autre. en résumé la maladie a été découpée en 2 phases d'une semaine chacune, la première partie de la première phase est la survenue plus ou moins brutale de plus ou oins de symptomes, puis il est courant d'avoir l'impression d'être guéri pendant 1 ou 2 jours (aujourd"hui c'est mon 2è) puis la vraie maladie arrive. Là, soit c'est à peu près pareil que les premiers jours, alors la seconde phase sera remissive, soit les symptômes s'aggravent ou/se multiplient (bronches prises, difficultés respiratoires) et alos la phase 2 sera sévère. 
2893837	20200324173252	jb3.devnewton.fr	devnewton	17:02:04 <i>fenêtre sur lourd</i>
2893838	20200324173343	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	je n'ai mangé qu'une poignée de raison sec en guise de repas, tout le temps. et bu beaucoup, et beaucoup de tisane. pas de doliprane, aucun médoc
2893839	20200324173352	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Falkon/3.1.0 Chrome/73.0.3683.105 Safari/537.36	tankey	depuis samedi
2893840	20200324173431	jb3.devnewton.fr	Ysabeau	17:33:43 pas de raisin ?
2893841	20200324173538	dae	Daemo0on	17:32:10 ça a commencé par quoi comme symptômes ?
2893842	20200324173549	jb3.devnewton.fr	Ysabeau	17:33:52 blagues à part, merci de toutes ces nouvelles. Et j'espère que ça va vraiment aller mieux, voilà.
